day_number;evaporation
1;16.4926334471695
2;16.4866119977462
3;16.6275113476886
4;16.7758419573966
5;16.8006366510517
6;16.8907002302056
7;16.9855476819012
8;16.6589004133421
9;16.5010396317042
10;16.7893262058204
11;17.4000143798302
12;18.018812366469
13;18.2511240429881
14;18.2243070424992
15;17.8900254068997
16;17.9105375689822
17;18.2124970958022
18;18.2128806525164
19;17.7779300969752
20;17.484165015635
21;17.4490202071228
22;17.7317829702719
23;17.9887428569627
24;17.9963838642513
25;18.428762633364
26;18.8161794190858
27;19.3960043247645
28;19.5944738506066
29;19.9312083591227
30;20.5163622833333
31;20.5805991798765
32;20.5493662338204
33;20.2567156757155
34;20.4409525482521
35;20.8641868440327
36;20.8130322679608
37;20.6996151300801
38;20.6360784178223
39;21.2746267272681
40;22.0412899910797
41;22.388404598566
42;22.2622229364722
43;22.6531543651581
44;23.5002626328584
45;23.6340799162989
46;24.1444028775403
47;23.794296529227
48;24.2625033194025
49;24.0652393379015
50;24.4833507150983
51;24.9128626316833
52;24.9474966575038
53;25.5128738145677
54;25.8172159812559
55;25.442915050147
56;25.0387349521649
57;24.9638041427508
58;25.314559787344
59;25.4968396384809
60;25.4620955916079
61;25.7267065111038
62;25.8102133709633
63;26.9737579834354
64;27.9434818557871
65;29.0880405743989
66;29.4593461635053
67;29.3543173286507
68;30.1909552444859
69;30.0594970341725
70;30.7727998962917
71;29.8991021769732
72;30.0577397325575
73;29.5492408388924
74;29.8333691870639
75;30.1659739638782
76;30.656980088745
77;30.5903582228992
78;30.8559243002088
79;31.3390573773335
80;31.7853138224435
81;32.3923098330991
82;32.7463947781876
83;33.3530736169083
84;32.9348630535238
85;33.2913577845189
86;33.7766275744334
87;34.9642939111743
88;35.5739668217121
89;35.7531544292212
90;35.1329357800605
91;35.0712620372423
92;35.6123271069593
93;36.0170188356515
94;35.7460684034469
95;35.4097566903354
96;35.682619358426
97;36.8460381540332
98;38.2908996784111
99;39.1208438307349
100;38.546845365216
101;38.4630134199733
102;39.1851603524302
103;40.0844063288443
104;40.3027344620967
105;39.9795866329854
106;39.9423376695553
107;39.4835384390379
108;39.7215234824885
109;40.3663721419856
110;40.8470592197841
111;41.3526938128148
112;41.7029075412435
113;42.2228729714393
114;41.9516748110087
115;41.5074423925655
116;41.0463064904717
117;40.9888203103312
118;41.9457879665374
119;41.6932063132041
120;41.7304823383102
121;41.6104581220736
122;42.1711614842879
123;42.6823029984611
124;42.7106412226781
125;42.5481965139417
126;42.0862741281695
127;42.146465961223
128;43.0723954347655
129;43.0174386000021
130;43.4254170857784
131;43.261244120357
132;44.0225022274038
133;44.6252323353727
134;45.3416688015251
135;46.1170792697853
136;46.0397364180531
137;45.1514414660131
138;45.3773147231415
139;44.9911266730914
140;44.6868100295548
141;44.3668028504503
142;44.2518133558554
143;44.1362215880678
144;43.3439699473711
145;44.0939848038104
146;43.4758296454799
147;43.8229507084984
148;44.0655150508634
149;45.9143631489924
150;47.6942687192198
151;47.7008939716259
152;45.8182813398393
153;44.3296367918325
154;43.8794317922607
155;44.0065735153894
156;44.3004851893042
157;43.3652894891179
158;43.3806217061956
159;43.8602868957428
160;44.28143193818
161;44.1659116357873
162;45.162776959291
163;46.5862132805274
164;47.2310494879832
165;46.2011166766792
166;45.0805666508993
167;46.0589911808885
168;46.2292776954391
169;45.8204498350755
170;44.9970777443945
171;44.7053238929738
172;44.8846645189945
173;45.143327082678
174;44.8101811307215
175;44.5690539497676
176;43.6079105105277
177;43.2032899325202
178;43.186021565561
179;43.5986595225336
180;44.1199082039194
181;44.3032508932854
182;43.996788812865
183;43.7889682558696
184;44.5154101640843
185;45.1305579906928
186;45.4927164677237
187;46.1180475595572
188;46.4566403381752
189;45.5076907886306
190;45.2615998572225
191;45.1611953269647
192;46.6089309650316
193;45.7231218254027
194;44.5957625768928
195;43.4073624501058
196;42.7581610504933
197;42.4140797597414
198;41.73778454182
199;42.3733269616108
200;42.5193965727526
201;43.0455392691665
202;42.9392969462024
203;42.9549599967819
204;42.5764751931034
205;42.150645924372
206;41.9611961434005
207;41.2302733305459
208;41.01729771038
209;41.0998667687067
210;41.693046774042
211;41.4658263827114
212;41.1106267084166
213;41.7363456812711
214;42.29460989692
215;42.9087517690942
216;42.531208148153
217;42.9084114159926
218;42.3443747598953
219;41.8827533940786
220;41.0371610710486
221;40.9434888398648
222;40.6039880052887
223;39.8961024274205
224;39.6476590859649
225;40.302046684987
226;41.0076385268819
227;41.1388137276266
228;40.5747931807192
229;40.3275214063547
230;39.9960032042595
231;39.7246112507221
232;39.1384394063696
233;38.5848896586666
234;38.1692553460184
235;38.2306470948358
236;38.0423658009171
237;37.4933150749077
238;36.9489195700979
239;36.6842248152938
240;36.3966044420009
241;36.1092408392749
242;35.8188070929451
243;35.5864377709208
244;35.2120707800029
245;35.299352895197
246;35.2562105597329
247;35.5310251585143
248;35.2987047042333
249;35.1501109711026
250;34.7235224886299
251;34.2826110708325
252;33.6995577707476
253;33.244603467017
254;32.9756630337077
255;32.7761840765906
256;32.9258210841375
257;32.5541181188021
258;31.9668301180268
259;31.397377317206
260;31.181768687147
261;31.8907352238851
262;32.0990071570689
263;32.6520688072202
264;32.3259861637393
265;32.2301058872835
266;31.5876289007535
267;30.5947722287971
268;30.0368898129835
269;28.6471226686728
270;29.4295185145856
271;29.3469415362031
272;28.7611161144587
273;28.2306481219981
274;28.2292905837726
275;28.9175659207236
276;29.0183405056269
277;28.0979670515006
278;27.4493373698437
279;25.8977709029971
280;25.6192189978073
281;24.9062447702665
282;25.3233116215021
283;25.1310911441621
284;26.1209838592877
285;25.811746920695
286;26.1103345873945
287;24.8765533255489
288;24.2538562105346
289;23.9262979837539
290;24.5807293656222
291;24.7190197315985
292;23.7385685364068
293;23.2399487483062
294;23.1338524539594
295;23.467610391901
296;24.1022036494346
297;23.3094222372058
298;22.7967817749649
299;21.8936473383166
300;21.6604304148229
301;21.6624515196376
302;21.567477358229
303;21.4776207519486
304;20.9847232708718
305;20.7196867457466
306;20.5544833052855
307;20.5272679756458
308;20.5554387554697
309;20.3350008701368
310;19.7797304155215
311;19.261929845555
312;19.1463304620906
313;18.6399008404501
314;18.5133624487191
315;18.465097465285
316;18.7998829688482
317;18.773286665822
318;18.331349970239
319;18.1251993841195
320;17.9288301013631
321;18.0570344634937
322;17.8123443415708
323;17.8728833791995
324;17.7339458567573
325;17.8702707403851
326;17.543558350696
327;17.4468092867148
328;17.2761218677725
329;16.9757116142694
330;16.5959647256557
331;16.6352649141566
332;17.196284431613
333;17.364588347514
334;17.567898363819
335;17.1707353194666
336;17.17506092238
337;16.7764945462041
338;16.9336422492936
339;16.8184235583923
340;17.0817257064296
341;16.7689880343642
342;16.6240066887995
343;16.4354470721449
344;16.3998565939791
345;16.0672933937358
346;16.0469997665118
347;16.1782137887804
348;16.3034697766251
349;16.3466190618693
350;16.2039795531683
351;16.1537878767252
352;15.9375904175473
353;15.8782059561425
354;16.0358693868601
355;16.0244057763971
356;16.0432503906729
357;15.9297821540828
358;16.0992936433939
359;15.9605602795508
360;16.0605871078659
361;16.3067474900449
362;16.3910254276289
363;16.5115791567848
364;16.713055558681
365;17.0471501564069
